CodProd,Descrip,CodInst,Activo,Descrip2,Precio_1
YO006,Yogurt Natural De Mora Natugurt,NATUGURT,Y,,1.2
YO007,Yogurt Natural De Ciruela Natugurt,NATUGURT,Y,,1.2
YO008,Yogurt Natural de Pi Natugurt,NATUGURT,Y,,1.2
YO009,Yogurt Natural de Parchita Natugurt,NATUGURT,Y,,1.2
YO010,Yogurt Natural de Mango Natugurt,NATUGURT,Y,,1.2
YO011,Yogurt Light de Fresa Natugurt,NATUGURT,Y,,1.2
YO012,Yogurt Light de Pi Natugurt,NATUGURT,Y,,1.2
YO013,Yogurt Light de Parchita Natugurt,NATUGURT,Y,,1.2
YO014,Yogurt Light de Mango Natugurt,NATUGURT,Y,,1.2
YO015,Aderezo de Ajoporro y Oregano Natugurt,NATUGURT,Y,,1.4
YO016,Aderezo de Ajo y Cebolla Natugurt,NATUGURT,Y,,1.4
YO017,Aderezo de Celery Natugurt,NATUGURT,Y,,1.4
YO018,Aderezo de Cilantro Natugurt,NATUGURT,Y,,1.4
YO019,Aderezo de Tocineta Natugurt,NATUGURT,Y,,1.4
YO020,Aderezo de Ranch Natugurt,NATUGURT,Y,,1.4
YO021,Aderezo de Pimenton Natugurt,NATUGURT,Y,,1.4
YO022,Yogurt Griego 16 oz Natugurt,NATUGURT,Y,,3.9
YO023,Yogurt Natural 16 oz Natugurt,NATUGURT,Y,,2.8
YO024,Yogurt de Coco Natugurt,NATUGURT,Y,,3.9
YO025,Queso de Yogurt 16 oz Natugurt,NATUGURT,Y,,4.0
